,date,open,high,low,close,volume,average,barCount
0,2016-02-08,160.11,160.81,158.05,160.35,11987200,159.074,60775
1,2016-02-09,158.54,161.46,158.51,160.24,10806400,160.011,60784
2,2016-02-10,160.98,162.3,159.23,159.39,7156100,160.761,40080
3,2016-02-11,156.8,158.02,155.26,156.8,14029400,156.553,84336
4,2016-02-12,158.16,159.98,157.66,159.98,5626000,158.907,29687
5,2016-02-16,161.76,162.29,160.62,162.2,5080800,161.656,28261
6,2016-02-17,163.46,165.26,163.33,164.93,5251400,164.4665,29104
7,2016-02-18,165.33,165.45,164.29,164.52,4781900,164.7795,27287
8,2016-02-19,163.18,163.81,162.59,163.7,4270600,163.3445,22836
9,2016-02-22,165.35,166.46,165.13,165.94,3205100,165.8595,18389
10,2016-02-23,165.61,165.76,163.84,164.15,4350700,164.536,22807
11,2016-02-24,162.6,164.9,161.46,164.67,6448000,162.977,36345
12,2016-02-25,165.03,166.84,164.4,166.84,3692500,165.7025,21182
13,2016-02-26,167.84,167.95,166.12,166.28,3547000,166.8825,20554
14,2016-02-29,166.16,167.21,164.96,164.96,3178700,166.15,19458
15,2016-03-01,166.01,168.59,165.71,168.52,3627700,167.534,20790
16,2016-03-02,168.02,168.93,167.55,168.89,2885800,168.31,16751
17,2016-03-03,168.73,169.39,168.12,169.35,2770400,168.759,15372
18,2016-03-04,169.53,170.55,168.92,170.02,3310300,169.8085,17492
19,2016-03-07,169.37,170.93,169.3,170.62,3065800,170.2805,17890
20,2016-03-08,169.8,170.76,169.22,169.62,2636800,169.9195,13501
21,2016-03-09,170.41,170.59,169.54,170.02,2515700,170.088,13956
22,2016-03-10,170.67,171.4,168.3,170.06,4582500,169.6835,27100
23,2016-03-11,171.47,172.35,171.41,172.23,3348700,171.9975,15434
24,2016-03-14,171.7,172.89,171.7,172.41,2397000,172.3595,11573
25,2016-03-15,171.61,172.67,171.32,172.64,2279800,172.1555,11411
26,2016-03-16,172.21,173.94,172.16,173.47,3370100,173.153,18539
27,2016-03-17,173.46,175.41,173.08,174.94,3782700,174.536,19291
28,2016-03-18,175.27,175.95,175.04,175.69,4205400,175.56,23336
29,2016-03-21,175.62,176.21,175.25,176.01,2484600,175.812,13483
30,2016-03-22,175.3,176.26,175.15,175.7,3246200,175.742,16819
31,2016-03-23,175.22,175.55,174.6,174.81,3735600,175.115,17813
32,2016-03-24,173.85,174.94,173.7,174.94,4796500,174.272,21458
33,2016-03-28,175.13,175.59,174.66,175.12,2942900,175.167,9364
34,2016-03-29,174.49,176.18,174.06,176.07,5106800,175.2285,21303
35,2016-03-30,177.11,177.65,176.51,176.89,3599500,177.1515,16325
36,2016-03-31,176.93,177.3,176.43,176.64,2606700,176.901,13153
37,2016-04-01,175.71,177.85,175.41,177.72,3744100,176.8645,18923
38,2016-04-04,177.63,177.88,176.88,177.12,2091000,177.343,10502
39,2016-04-05,176.08,176.96,175.57,175.82,3842000,176.1475,16524
40,2016-04-06,175.86,177.09,175.24,177.04,3515500,176.2825,18621
41,2016-04-07,175.8,176.23,174.68,175.29,4416900,175.3975,25799
42,2016-04-08,176.25,176.81,175.11,175.66,2387400,175.9965,14004
43,2016-04-11,176.12,177.17,175.4,175.44,2997300,176.3265,15909
44,2016-04-12,175.73,177.28,175.36,177.09,3367100,176.605,18049
45,2016-04-13,178.0,179.02,177.92,178.92,4380400,178.5065,24156
46,2016-04-14,179.03,179.5,178.74,179.11,3065300,179.1385,17186
47,2016-04-15,178.99,179.14,178.41,178.68,2934300,178.8155,19768
48,2016-04-18,178.13,179.83,178.1,179.78,2323600,179.365,11288
49,2016-04-19,180.14,180.77,179.59,180.32,2717900,180.224,13835
50,2016-04-20,180.0,181.42,180.0,180.75,2434600,180.7775,11610
51,2016-04-21,180.64,180.88,179.42,179.7,2207600,180.105,11835
52,2016-04-22,179.61,180.08,178.87,179.9,2199700,179.5565,13410
53,2016-04-25,179.23,179.59,178.33,179.54,2307600,178.951,12951
54,2016-04-26,179.84,180.26,179.11,179.64,1956700,179.5525,10390
55,2016-04-27,179.12,180.65,178.99,180.25,3355000,179.9275,15995
56,2016-04-28,179.06,180.15,177.74,178.2,3265300,178.9355,16683
57,2016-04-29,177.4,177.95,176.29,177.59,4458800,177.078,22295
58,2016-05-02,178.08,178.91,177.51,178.7,2082100,178.3215,9503
59,2016-05-03,177.48,177.83,176.48,177.3,4434900,177.199,21108
60,2016-05-04,176.38,177.21,175.9,176.32,3095200,176.4315,15835
61,2016-05-05,176.83,177.22,176.0,176.44,1646000,176.608,9366
62,2016-05-06,175.69,177.4,175.68,177.34,2655400,176.6755,13839
63,2016-05-09,177.25,177.76,176.62,176.98,1793800,177.0925,9881
64,2016-05-10,177.72,179.27,177.64,179.2,2659000,178.7475,12496
65,2016-05-11,178.7,178.94,177.26,177.3,2409200,178.0995,11985
66,2016-05-12,177.81,178.12,176.4,177.42,2403200,177.2695,12156
67,2016-05-13,176.9,177.52,175.26,175.48,3013800,176.377,15559
68,2016-05-16,175.69,177.7,175.58,177.26,2214300,176.8895,11047
69,2016-05-17,176.96,177.24,174.92,175.56,2956600,175.9825,14137
70,2016-05-18,175.08,176.73,174.53,175.63,3844000,175.5565,18762
71,2016-05-19,174.95,175.2,173.67,174.68,4300200,174.378,25295
72,2016-05-20,174.72,175.54,174.51,174.76,2576800,175.067,12953
73,2016-05-23,174.84,175.33,174.6,174.78,1585900,174.9815,8155
74,2016-05-24,175.76,177.24,175.65,176.86,2623700,176.7045,14682
75,2016-05-25,177.5,178.74,177.45,178.28,2553000,178.37,14404
76,2016-05-26,178.49,178.69,177.82,178.08,2114500,178.1985,13558
77,2016-05-27,178.22,178.59,178.06,178.5,1534700,178.377,9259
78,2016-05-31,178.98,178.98,177.13,177.65,2194300,177.957,13083
79,2016-06-01,176.98,177.98,176.55,177.73,2382300,177.342,13063
80,2016-06-02,177.3,178.31,176.98,178.28,1777600,177.752,10548
81,2016-06-03,177.87,178.29,176.83,178.06,3461800,177.674,18697
82,2016-06-06,178.49,179.46,178.41,179.18,2577400,179.028,12752
83,2016-06-07,179.46,179.99,179.34,179.38,1384500,179.741,7202
84,2016-06-08,179.61,180.18,179.54,180.06,1575000,179.908,7919
85,2016-06-09,179.37,180.04,179.14,179.88,1975000,179.548,10203
86,2016-06-10,178.7,179.24,178.11,178.71,3852500,178.6445,22202
87,2016-06-13,178.0,179.0,177.36,177.36,4276000,178.0785,22605
88,2016-06-14,177.0,177.42,175.99,176.81,3351300,176.6755,17462
89,2016-06-15,177.25,177.84,176.38,176.57,2285300,177.1845,12519
90,2016-06-16,175.73,177.67,174.8,177.46,4140500,176.2465,21678
91,2016-06-17,177.1,177.15,175.77,176.52,2442500,176.493,12929
92,2016-06-20,178.4,179.23,177.76,177.8,2784300,178.5865,14190
93,2016-06-21,178.13,178.53,177.73,178.06,1738800,178.1035,10680
94,2016-06-22,178.23,178.95,177.43,177.57,2798500,178.047,17238
95,2016-06-23,179.02,179.83,178.67,179.81,2740400,179.1985,14674
96,2016-06-24,174.55,176.68,173.3,173.76,10487400,174.983,64466
97,2016-06-27,172.48,172.48,170.37,171.2,7237600,171.1115,46360
98,2016-06-28,172.85,173.84,172.2,173.82,5011700,173.0445,31609
99,2016-06-29,175.16,176.82,175.0,176.64,4830700,176.0505,26083
100,2016-06-30,177.05,179.08,176.86,179.0,4720500,178.1375,25316
101,2016-07-01,178.78,179.8,178.78,179.31,3621800,179.4045,19332
102,2016-07-05,178.58,178.68,177.66,178.21,2959500,178.1895,15376
103,2016-07-06,177.61,179.1,176.96,178.98,5142000,178.3275,31677
104,2016-07-07,179.15,179.73,178.04,178.79,2191900,178.8085,13104
105,2016-07-08,180.01,181.56,179.98,181.3,4381500,180.849,22834
106,2016-07-11,181.86,182.72,181.78,182.12,2129700,182.3015,11532
107,2016-07-12,183.01,183.62,182.78,183.39,2836300,183.262,14745
108,2016-07-13,183.68,183.8,183.05,183.6,2246400,183.4695,13226
109,2016-07-14,185.06,185.27,184.56,184.96,3168800,184.988,17197
110,2016-07-15,185.35,185.5,184.45,184.88,3423500,184.9305,14766
111,2016-07-18,184.83,185.38,184.71,185.08,1939500,185.1155,11243
112,2016-07-19,185.01,185.42,184.82,185.42,1874200,185.1225,10413
113,2016-07-20,185.9,186.08,185.39,185.78,1989100,185.8245,12105
114,2016-07-21,185.54,185.73,184.54,184.98,2660300,185.0825,16457
115,2016-07-22,185.0,185.57,184.76,185.51,1979400,185.143,9156
116,2016-07-25,185.27,185.3,184.37,184.81,1825800,184.67,9377
117,2016-07-26,184.61,185.02,183.7,184.6,3162700,184.4005,13901
118,2016-07-27,185.14,185.28,184.11,184.58,2644500,184.687,12004
119,2016-07-28,184.28,184.66,183.52,184.38,2260200,184.168,10109
120,2016-07-29,183.85,184.5,183.54,184.13,3304900,184.124,16032
121,2016-08-01,184.35,184.52,183.38,183.87,2772000,183.889,11647
122,2016-08-02,183.7,183.88,182.31,182.97,4127000,182.9495,17082
123,2016-08-03,182.85,183.43,182.71,183.36,2159600,183.169,9096
124,2016-08-04,183.5,183.89,183.15,183.45,2264200,183.4515,8435
125,2016-08-05,184.4,185.28,183.42,185.26,2741400,184.848,11710
126,2016-08-08,185.5,185.7,185.02,185.28,1980700,185.226,8337
127,2016-08-09,185.38,185.86,185.06,185.35,1800100,185.5225,9670
128,2016-08-10,185.4,185.79,184.84,185.12,1522900,185.241,8260
129,2016-08-11,185.7,186.58,185.6,186.3,2030900,186.23,10743
130,2016-08-12,186.14,186.25,185.51,185.9,2129800,185.9665,8884
131,2016-08-15,186.4,186.88,186.33,186.52,1470000,186.6685,7297
132,2016-08-16,186.17,186.37,185.72,185.76,1500800,185.9815,8159
133,2016-08-17,185.73,186.23,185.09,186.1,2838500,185.735,11555
134,2016-08-18,185.97,186.41,185.72,186.34,2128800,186.1315,7730
135,2016-08-19,185.3,185.65,184.72,185.32,2013700,185.2195,9546
136,2016-08-22,184.95,185.52,184.46,185.12,2944600,184.976,14011
137,2016-08-23,185.7,186.13,185.25,185.3,1529100,185.609,7667
138,2016-08-24,185.06,185.2,184.28,184.66,1647800,184.777,8797
139,2016-08-25,184.28,184.79,184.1,184.37,1913800,184.401,7857
