,date,open,high,low,close,volume,average,barCount
0,2016-02-08,186.68,187.01,183.72,186.31,6661800,185.352,28246
1,2016-02-09,184.21,187.87,184.11,186.24,4949000,185.921,22673
2,2016-02-10,187.3,189.24,186.04,186.15,3497900,187.569,13760
3,2016-02-11,183.18,184.96,182.02,183.83,5377600,183.5615,21789
4,2016-02-12,185.84,187.57,184.87,187.55,2971000,186.626,11612
5,2016-02-16,189.76,190.74,188.56,190.67,3092200,189.992,12732
6,2016-02-17,192.12,194.28,191.97,193.83,3527100,193.493,11757
7,2016-02-18,194.2,194.25,192.69,193.05,2296700,193.315,10050
8,2016-02-19,192.15,193.14,191.42,192.93,1812500,192.538,7848
9,2016-02-22,194.85,195.93,194.79,195.72,2223200,195.4555,9831
10,2016-02-23,195.02,195.28,193.16,193.34,2354700,193.9005,10296
11,2016-02-24,191.59,194.5,190.27,194.22,2684900,192.362,12991
12,2016-02-25,194.71,196.53,193.82,196.5,2385300,195.1995,10804
13,2016-02-26,197.58,197.68,195.89,196.15,3303600,196.8725,14030
14,2016-02-29,196.14,197.25,194.42,194.51,2846500,195.8935,15166
15,2016-03-01,196.02,199.2,195.47,199.19,4409400,197.8595,19979
16,2016-03-02,198.79,200.09,198.28,200.07,3561900,199.241,15494
17,2016-03-03,199.79,200.83,199.14,200.78,2648800,199.995,11574
18,2016-03-04,201.08,202.4,200.1,201.48,2909600,201.3285,12172
19,2016-03-07,200.41,202.12,200.29,201.68,3475600,201.1945,12875
20,2016-03-08,200.36,200.96,199.25,199.38,2850400,200.0935,15985
21,2016-03-09,200.39,200.8,199.45,200.41,3029700,200.2105,10609
22,2016-03-10,201.0,202.11,198.46,200.52,3015400,200.063,13742
23,2016-03-11,202.32,203.88,202.2,203.84,2472200,203.126,9419
24,2016-03-14,203.25,204.13,202.85,203.56,3905300,203.5785,20572
25,2016-03-15,202.44,203.28,202.12,203.22,3838100,202.7975,17073
26,2016-03-16,202.64,204.9,202.59,204.52,3177900,203.818,16945
27,2016-03-17,204.35,206.33,203.86,205.81,4227200,205.5125,21268
28,2016-03-18,206.33,206.94,205.96,206.57,4691300,206.522,24364
29,2016-03-21,206.25,207.11,205.96,206.87,2675100,206.683,12902
30,2016-03-22,205.92,207.4,205.73,206.75,3102900,206.806,14277
31,2016-03-23,205.13,205.36,204.05,204.3,2531700,204.7005,12845
32,2016-03-24,203.05,204.2,202.77,204.18,2790200,203.4625,13293
33,2016-03-28,204.67,204.88,203.75,204.31,2011000,204.3775,11293
34,2016-03-29,203.81,206.26,203.43,206.26,2317800,204.9885,11492
35,2016-03-30,207.33,207.91,206.65,207.13,2446200,207.292,11849
36,2016-03-31,206.96,207.45,206.38,206.65,3090600,206.9575,14523
37,2016-04-01,205.39,208.2,205.05,207.97,3379800,206.543,15413
38,2016-04-04,207.92,208.13,206.95,207.29,2686500,207.4185,12094
39,2016-04-05,205.75,206.27,204.93,205.26,2801500,205.5375,14300
40,2016-04-06,205.34,207.54,205.02,207.48,2495700,206.5315,12829
41,2016-04-07,206.22,206.59,204.13,204.97,6119000,205.0485,25812
42,2016-04-08,206.38,206.88,204.92,205.58,2173000,205.935,9803
43,2016-04-11,206.3,207.11,204.95,205.0,2498000,206.0415,12093
44,2016-04-12,205.27,207.32,204.75,207.02,2078000,206.38,9851
45,2016-04-13,208.05,209.16,207.91,209.1,2950800,208.637,13166
46,2016-04-14,209.14,209.66,208.68,209.12,2028200,209.1705,11131
47,2016-04-15,209.12,209.17,208.47,208.79,1915400,208.873,8824
48,2016-04-18,208.2,210.34,208.07,210.31,3118000,209.889,16259
49,2016-04-19,210.81,211.28,210.02,210.95,2270500,210.749,10640
50,2016-04-20,211.03,212.0,210.48,211.11,2179700,211.3775,8025
51,2016-04-21,211.21,211.33,209.73,210.06,2557300,210.4795,12451
52,2016-04-22,209.64,210.35,209.0,210.03,2792200,209.65,13106
53,2016-04-25,209.37,209.69,208.61,209.66,2453800,209.1795,11344
54,2016-04-26,210.13,210.6,209.45,210.01,1978800,209.9165,9384
55,2016-04-27,209.51,210.9,209.14,210.4,2361900,209.99,12708
56,2016-04-28,209.55,210.85,208.03,208.58,2673000,209.7,12513
57,2016-04-29,207.81,208.19,206.1,207.46,3401600,206.988,14801
58,2016-05-02,208.01,209.26,207.48,209.08,2753300,208.4335,14943
59,2016-05-03,207.55,207.86,206.35,207.25,3040000,207.121,13964
60,2016-05-04,206.05,206.89,205.48,206.07,2286700,206.056,10266
61,2016-05-05,206.59,207.01,205.51,206.01,2028700,206.2105,9524
62,2016-05-06,205.13,206.81,204.94,206.81,2131400,205.9135,9645
63,2016-05-09,206.61,207.43,206.43,207.01,2480600,206.952,13112
64,2016-05-10,207.79,209.54,207.72,209.52,2410700,208.8225,12371
65,2016-05-11,208.98,209.4,207.57,207.57,2498600,208.374,15067
66,2016-05-12,208.36,208.55,206.44,207.67,2940600,207.43,15392
67,2016-05-13,207.27,207.91,205.44,205.75,4292800,206.7525,20828
68,2016-05-16,206.0,208.41,205.95,207.83,2417600,207.535,13254
69,2016-05-17,207.53,207.87,205.28,206.0,3045900,206.3655,19246
70,2016-05-18,205.48,207.35,204.69,206.02,3753500,206.0665,20484
71,2016-05-19,205.08,205.58,203.8,205.29,3577300,204.666,18994
72,2016-05-20,205.99,207.16,205.9,206.54,2454400,206.629,12763
73,2016-05-23,206.56,206.9,206.04,206.26,1378500,206.464,7052
74,2016-05-24,207.25,209.32,207.2,208.94,2356100,208.6875,13506
75,2016-05-25,209.75,210.85,209.71,210.35,2222700,210.464,11624
76,2016-05-26,210.55,210.81,210.05,210.43,1864300,210.439,10344
77,2016-05-27,210.61,211.31,210.56,211.3,1530500,210.979,9616
78,2016-05-31,211.66,211.8,210.27,210.97,2775400,211.051,16513
79,2016-06-01,210.25,211.58,209.99,211.37,2658200,210.9965,13302
80,2016-06-02,210.91,212.06,210.33,212.06,2782500,211.2725,16752
81,2016-06-03,211.34,211.8,209.98,211.35,2654500,211.0165,16219
82,2016-06-06,211.82,212.88,211.62,212.52,2342900,212.354,13385
83,2016-06-07,212.66,213.46,212.62,212.77,1975100,213.0905,12514
84,2016-06-08,212.97,213.64,212.81,213.45,1483800,213.3175,7490
85,2016-06-09,212.62,213.35,212.32,213.2,1717200,212.7755,9255
86,2016-06-10,211.58,211.97,210.54,211.19,3061900,211.198,15133
87,2016-06-13,210.47,211.48,209.44,209.52,3429500,210.387,17199
88,2016-06-14,209.12,209.83,208.0,209.14,4163900,208.896,21071
89,2016-06-15,209.62,210.44,208.6,208.77,3261400,209.632,13879
90,2016-06-16,207.81,209.66,206.65,209.45,3469100,208.1915,16961
91,2016-06-17,209.32,209.38,207.9,208.66,2872500,208.72,15801
92,2016-06-20,210.98,211.79,209.91,210.04,3449600,210.841,18936
93,2016-06-21,209.47,210.07,208.96,209.62,1971100,209.5585,11616
94,2016-06-22,209.82,210.69,209.11,209.27,2842600,209.7575,16356
95,2016-06-23,211.02,212.02,210.46,212.0,2341000,211.159,12239
96,2016-06-24,204.87,208.06,203.88,204.49,13754600,205.6655,95598
97,2016-06-27,202.72,202.77,199.79,200.63,7471600,200.96,41377
98,2016-06-28,202.62,204.38,202.26,204.38,6684100,203.0835,31070
99,2016-06-29,206.01,208.1,205.89,207.8,6318600,207.196,32699
100,2016-06-30,208.41,210.72,207.74,210.5,4464300,209.4595,22930
101,2016-07-01,210.57,211.7,210.54,211.13,4299300,211.1815,22924
102,2016-07-05,210.14,210.27,208.9,209.64,5336300,209.495,27992
103,2016-07-06,209.02,210.99,208.25,210.84,5526000,209.9325,25320
104,2016-07-07,211.07,211.84,209.84,210.66,2726600,210.7975,14166
105,2016-07-08,212.24,214.15,212.0,213.86,2909700,213.373,14482
106,2016-07-11,214.41,215.28,214.17,214.67,2850700,214.9015,12955
107,2016-07-12,215.77,216.53,215.49,216.18,3982800,216.1865,22908
108,2016-07-13,216.67,216.7,215.59,216.16,3594900,216.16,20205
109,2016-07-14,217.63,217.91,216.9,217.35,4602600,217.4725,25550
110,2016-07-15,218.02,218.05,216.54,217.03,3148600,217.173,16323
111,2016-07-18,217.18,217.86,216.9,217.63,3705100,217.6045,18047
112,2016-07-19,217.18,217.46,216.88,217.39,1272700,217.1635,6887
113,2016-07-20,217.98,218.6,217.47,218.31,1625000,218.306,8235
114,2016-07-21,218.19,218.47,216.99,217.52,1612400,217.666,9979
115,2016-07-22,217.65,218.56,217.35,218.47,3241500,218.238,18193
116,2016-07-25,218.24,218.31,217.22,217.91,1561000,217.6465,8407
117,2016-07-26,217.82,218.42,217.0,218.0,2748800,217.7035,17886
118,2016-07-27,218.42,218.51,216.88,217.78,3688400,217.744,20939
119,2016-07-28,217.52,218.37,217.0,218.04,1677200,217.7285,9007
120,2016-07-29,217.71,218.79,217.38,218.37,2357700,218.376,11824
121,2016-08-01,218.47,218.9,217.65,218.12,2617900,218.1055,16376
122,2016-08-02,217.91,218.07,215.81,216.83,4295100,216.6475,24474
123,2016-08-03,216.73,217.48,216.39,217.47,2202100,217.0485,12209
