,date,open,high,low,close,volume,average,barCount
0,2016-02-08,96.33,97.05,94.84,96.62,75145200,95.89,299763
1,2016-02-09,95.36,97.78,95.18,96.32,61494900,96.474,247262
2,2016-02-10,97.51,98.69,96.62,96.69,45266100,97.6325,184374
3,2016-02-11,95.45,97.32,95.19,96.55,64044200,96.1685,254703
4,2016-02-12,97.68,98.12,96.73,98.02,35021100,97.5755,140915
5,2016-02-16,99.44,100.23,98.85,100.23,29393700,99.6885,128830
6,2016-02-17,101.0,102.64,100.7,102.5,36212600,101.906,133621
7,2016-02-18,102.8,102.84,101.2,101.33,30493500,101.871,120676
8,2016-02-19,100.91,101.94,100.61,101.63,23787800,101.408,92494
9,2016-02-22,102.53,103.38,102.48,103.28,38922400,103.024,152732
10,2016-02-23,102.67,102.96,101.51,101.58,23239000,102.062,88738
11,2016-02-24,100.45,102.68,99.77,102.55,34875000,101.0435,131096
12,2016-02-25,102.76,103.56,101.84,103.56,52239400,102.702,187526
13,2016-02-26,104.28,104.37,103.18,103.43,24874800,103.6625,96524
14,2016-02-29,103.31,104.1,102.5,102.5,47549800,103.3155,183333
15,2016-03-01,103.45,105.79,103.16,105.79,29970700,104.728,109965
16,2016-03-02,105.63,105.85,105.01,105.83,26119200,105.4555,102687
17,2016-03-03,105.71,105.75,104.87,105.63,20720300,105.37,77193
18,2016-03-04,105.76,106.35,104.97,105.67,24922400,105.635,96813
19,2016-03-07,105.12,105.74,104.27,105.02,23393500,105.0015,87673
20,2016-03-08,104.3,105.22,103.97,104.15,26203500,104.55,98729
21,2016-03-09,104.57,104.84,103.96,104.82,22196300,104.474,89404
22,2016-03-10,105.31,105.86,103.31,104.66,34428300,104.5725,135222
23,2016-03-11,105.8,106.49,105.46,106.49,24055400,106.0305,91736
24,2016-03-14,106.08,106.92,106.06,106.67,16766800,106.5785,62223
25,2016-03-15,106.27,106.75,105.95,106.63,38017400,106.414,139554
26,2016-03-16,106.37,107.86,106.34,107.58,23555700,107.1685,89369
27,2016-03-17,107.26,107.77,106.87,107.52,23172400,107.4085,86173
