,date,open,high,low,close,volume,average,barCount
0,2016-02-08,62.35,62.45,61.47,62.41,27100,62.042,96
1,2016-02-09,61.53,62.37,61.5,61.81,20600,62.0755,83
2,2016-02-10,62.66,62.68,61.84,61.88,31200,62.3265,217
3,2016-02-11,60.86,61.5,60.52,61.22,89200,61.038,464
4,2016-02-12,61.79,62.31,61.15,62.13,287600,61.972,1517
5,2016-02-16,63.03,63.55,62.8,63.53,133700,63.264,568
6,2016-02-17,64.13,64.77,64.0,64.52,98100,64.5725,828
7,2016-02-18,65.08,65.11,64.28,64.51,109200,64.649,609
8,2016-02-19,63.98,64.38,63.85,64.31,13300,64.184,113
9,2016-02-22,65.1,65.31,64.95,65.01,27000,65.1125,162
10,2016-02-23,64.84,64.84,64.15,64.15,2700,64.381,11
11,2016-02-24,63.84,64.62,63.34,64.33,110900,63.629,390
12,2016-02-25,64.76,65.21,64.44,65.13,8400,64.933,65
13,2016-02-26,65.79,65.81,65.08,65.08,20200,65.406,81
14,2016-02-29,65.33,65.55,64.97,64.97,42200,65.3565,203
15,2016-03-01,65.28,66.49,65.28,66.49,44200,66.053,166
16,2016-03-02,66.51,66.79,66.1,66.79,19400,66.57,44
17,2016-03-03,67.0,67.36,66.68,67.17,65200,67.0185,331
18,2016-03-04,67.63,68.0,67.42,67.8,15100,67.7155,106
19,2016-03-07,67.29,67.96,67.0,67.56,41000,67.6625,204
20,2016-03-08,67.51,67.51,66.72,66.79,14600,67.2165,68
21,2016-03-09,67.18,67.35,66.95,67.3,79800,67.216,174
22,2016-03-10,67.58,67.95,66.62,67.04,9800,67.638,50
23,2016-03-11,67.94,68.68,67.94,68.62,34200,68.4155,109
24,2016-03-14,68.45,68.61,68.11,68.36,44800,68.5215,257
25,2016-03-15,67.7,68.19,67.63,68.19,47300,67.922,172
26,2016-03-16,67.62,68.7,67.62,68.68,5800,68.408,35
27,2016-03-17,68.68,69.45,68.24,69.09,19500,68.963,120
28,2016-03-18,69.31,69.43,69.01,69.12,27300,69.125,62
29,2016-03-21,69.33,69.36,68.93,69.15,28500,69.2145,115
30,2016-03-22,68.85,69.32,68.61,69.21,18500,68.907,138
31,2016-03-23,69.11,69.2,68.34,68.37,26600,68.875,116
32,2016-03-24,67.94,68.52,67.87,68.47,108300,68.344,444
33,2016-03-28,68.9,69.2,68.23,68.67,144900,68.713,657
34,2016-03-29,68.25,69.36,68.25,69.34,73400,68.747,127
35,2016-03-30,69.96,69.99,69.51,69.76,34900,69.8185,131
36,2016-03-31,69.45,69.78,69.15,69.37,22200,69.546,143
37,2016-04-01,69.15,69.45,68.37,69.2,53000,68.8365,196
38,2016-04-04,69.2,69.52,69.02,69.02,46100,69.3025,169
39,2016-04-05,68.35,68.45,68.04,68.07,89300,68.262,299
40,2016-04-06,68.44,69.12,68.2,69.09,10000,68.7635,69
41,2016-04-07,68.49,68.5,68.03,68.13,31400,68.3175,190
42,2016-04-08,69.09,69.26,68.72,68.95,172300,68.9745,1115
43,2016-04-11,69.37,69.37,68.65,68.65,79300,69.201,64
44,2016-04-12,68.86,69.7,68.85,69.42,15900,69.222,99
45,2016-04-13,70.08,70.57,70.08,70.47,20300,70.259,105
46,2016-04-14,70.59,70.64,70.49,70.51,5900,70.5525,44
47,2016-04-15,70.55,70.6,70.28,70.29,41300,70.469,251
48,2016-04-18,69.95,70.89,69.94,70.74,16800,70.6695,46
49,2016-04-19,71.54,71.7,71.26,71.48,16000,71.502,77
50,2016-04-20,71.69,71.87,71.46,71.67,8900,71.7675,26
51,2016-04-21,71.41,71.84,71.08,71.1,38400,71.3515,282
52,2016-04-22,71.1,71.42,70.87,71.39,60400,71.276,328
53,2016-04-25,71.1,71.15,70.78,70.945,8600,70.9275,17
54,2016-04-26,71.7,71.7,71.02,71.09,19200,71.3745,85
55,2016-04-27,71.01,71.63,70.89,71.27,47100,71.203,380
56,2016-04-28,71.01,71.36,70.52,70.56,14200,70.7355,45
57,2016-04-29,70.5,70.5,69.87,70.11,21600,70.128,139
58,2016-05-02,70.85,71.05,70.34,71.04,39400,70.774,198
59,2016-05-03,70.3,70.34,69.89,70.08,17900,70.1265,80
60,2016-05-04,69.74,69.74,69.17,69.26,5600,69.3975,24
61,2016-05-05,69.63,69.63,69.01,69.33,11700,69.5235,21
62,2016-05-06,69.08,69.52,69.03,69.26,14300,69.1415,16
63,2016-05-09,69.35,69.6,69.33,69.6,5900,69.5495,23
64,2016-05-10,70.13,70.36,70.06,70.36,7400,70.1975,42
65,2016-05-11,70.55,70.55,69.71,69.71,82700,70.2385,76
66,2016-05-12,70.03,70.03,69.49,69.87,21000,69.809,24
67,2016-05-13,69.62,69.84,69.0,69.04,17400,69.439,93
68,2016-05-16,69.46,70.13,69.46,70.13,44900,69.7345,37
69,2016-05-17,69.84,69.87,69.04,69.21,8500,69.5855,45
70,2016-05-18,69.06,70.01,69.06,69.35,61400,69.571,225
71,2016-05-19,68.79,69.15,68.54,69.07,14000,68.8905,63
72,2016-05-20,69.58,69.64,69.4,69.46,6500,69.5005,41
73,2016-05-23,69.24,69.52,69.16,69.42,86700,69.402,80
74,2016-05-24,69.71,70.26,69.71,70.2,2600,70.122,12
75,2016-05-25,70.6,70.98,70.6,70.88,36900,70.8145,107
76,2016-05-26,70.88,70.9,70.72,70.72,13000,70.8555,46
77,2016-05-27,70.74,70.99,70.74,70.83,6000,70.874,30
78,2016-05-31,71.56,71.56,70.65,70.68,47700,70.9195,187
79,2016-06-01,70.68,70.96,70.6,70.79,10800,70.732,15
80,2016-06-02,70.72,70.88,70.55,70.86,8900,70.6825,26
81,2016-06-03,70.8,71.16,70.62,71.16,27100,71.078,24
82,2016-06-06,71.2,71.66,71.2,71.36,2800,71.5115,22
83,2016-06-07,71.54,72.03,71.54,71.68,11300,71.876,58
84,2016-06-08,72.1,72.1,71.85,72.03,19300,72.0315,61
85,2016-06-09,71.24,71.59,71.19,71.42,26900,71.3885,74
86,2016-06-10,70.51,70.73,70.0,70.19,8300,70.473,31
87,2016-06-13,69.75,70.14,69.57,69.74,2300,69.7995,14
88,2016-06-14,69.26,69.26,68.69,69.19,15100,69.047,85
89,2016-06-15,69.69,69.69,69.2,69.37,8700,69.5815,20
90,2016-06-16,68.71,69.47,68.23,69.47,18200,69.1565,67
91,2016-06-17,69.6,69.9,69.2,69.64,25000,69.5485,110
92,2016-06-20,70.86,71.06,70.44,70.65,60600,70.7605,233
93,2016-06-21,70.73,70.94,70.58,70.88,14700,70.741,40
94,2016-06-22,69.97,70.17,69.81,69.95,6300,70.0365,56
95,2016-06-23,70.94,71.46,70.67,71.46,6900,71.138,54
96,2016-06-24,66.69,68.75,66.62,67.47,61700,68.1705,227
97,2016-06-27,66.75,67.15,65.57,65.96,56000,66.214,265
98,2016-06-28,67.13,67.68,66.72,67.25,39300,67.2145,100
