Date,Cash,Num Shares,Share total Value,Total Port Value
2018-03-07,100000.0,0,0.0,100000.0
2018-03-08,100000.0,0,0.0,100000.0
2018-03-09,100000.0,0,0.0,100000.0
2018-03-12,100000.0,0,0.0,100000.0
2018-03-13,100000.0,0,0.0,100000.0
2018-03-14,100000.0,0,0.0,100000.0
2018-03-15,100000.0,0,0.0,100000.0
2018-03-16,100000.0,0,0.0,100000.0
2018-03-19,100000.0,0,0.0,100000.0
2018-03-20,100000.0,0,0.0,100000.0
2018-03-21,100000.0,0,0.0,100000.0
2018-03-22,100000.0,0,0.0,100000.0
2018-03-23,100000.0,0,0.0,100000.0
2018-03-26,126700.0,-100,-26700.0,100000.0
2018-03-27,127033.00073242188,-100,-26232.000732421875,100801.0
2018-03-28,153195.00024414062,-200,-52323.9990234375,100871.00122070312
2018-03-29,179731.99975585938,-300,-79610.99853515625,100121.00122070312
2018-04-02,205652.9989013672,-400,-103683.99658203122,101969.00231933597
2018-04-03,231910.99755859375,-500,-131289.99328613278,100621.00427246097
2018-04-04,258473.998046875,-600,-159378.0029296875,99095.9951171875
2018-04-05,258473.998046875,-600,-160488.00659179685,97985.99145507815
2018-04-06,232316.99731445312,-500,-130785.00366210938,101531.99365234375
2018-04-09,206046.99609375,-400,-105080.0048828125,100966.9912109375
2018-04-10,179349.9959716797,-300,-80091.00036621092,99258.99560546876
2018-04-11,152797.9970703125,-200,-53103.99780273439,99693.99926757811
2018-04-12,126018.99621582031,-100,-26779.000854492195,99239.99536132812
2018-04-13,99321.99609375,0,0.0,99321.99609375
2018-04-16,99321.99609375,0,0.0,99321.99609375
2018-04-17,99321.99609375,0,0.0,99321.99609375
2018-04-18,99321.99609375,0,0.0,99321.99609375
2018-04-19,99321.99609375,0,0.0,99321.99609375
2018-04-20,99321.99609375,0,0.0,99321.99609375
2018-04-23,99321.99609375,0,0.0,99321.99609375
2018-04-24,99321.99609375,0,0.0,99321.99609375
2018-04-25,99321.99609375,0,0.0,99321.99609375
2018-04-26,99321.99609375,0,0.0,99321.99609375
2018-04-27,99321.99609375,0,0.0,99321.99609375
2018-04-30,99321.99609375,0,0.0,99321.99609375
2018-05-01,99321.99609375,0,0.0,99321.99609375
2018-05-02,99321.99609375,0,0.0,99321.99609375
2018-05-03,99321.99609375,0,0.0,99321.99609375
2018-05-04,99321.99609375,0,0.0,99321.99609375
2018-05-07,99321.99609375,0,0.0,99321.99609375
2018-05-08,99321.99609375,0,0.0,99321.99609375
2018-05-09,99321.99609375,0,0.0,99321.99609375
2018-05-10,99321.99609375,0,0.0,99321.99609375
2018-05-11,99321.99609375,0,0.0,99321.99609375
2018-05-14,99321.99609375,0,0.0,99321.99609375
2018-05-15,99321.99609375,0,0.0,99321.99609375
2018-05-16,99321.99609375,0,0.0,99321.99609375
2018-05-17,99321.99609375,0,0.0,99321.99609375
2018-05-18,99321.99609375,0,0.0,99321.99609375
2018-05-21,99321.99609375,0,0.0,99321.99609375
2018-05-22,99321.99609375,0,0.0,99321.99609375
2018-05-23,99321.99609375,0,0.0,99321.99609375
2018-05-24,99321.99609375,0,0.0,99321.99609375
2018-05-25,99321.99609375,0,0.0,99321.99609375
2018-05-29,99321.99609375,0,0.0,99321.99609375
2018-05-30,99321.99609375,0,0.0,99321.99609375
2018-05-31,99321.99609375,0,0.0,99321.99609375
2018-06-01,99321.99609375,0,0.0,99321.99609375
2018-06-04,99321.99609375,0,0.0,99321.99609375
2018-06-05,99321.99609375,0,0.0,99321.99609375
2018-06-06,99321.99609375,0,0.0,99321.99609375
2018-06-07,99321.99609375,0,0.0,99321.99609375
2018-06-08,99321.99609375,0,0.0,99321.99609375
2018-06-11,99321.99609375,0,0.0,99321.99609375
2018-06-12,99321.99609375,0,0.0,99321.99609375
2018-06-13,99321.99609375,0,0.0,99321.99609375
2018-06-14,99321.99609375,0,0.0,99321.99609375
2018-06-15,99321.99609375,0,0.0,99321.99609375
2018-06-18,99321.99609375,0,0.0,99321.99609375
2018-06-19,99321.99609375,0,0.0,99321.99609375
2018-06-20,99321.99609375,0,0.0,99321.99609375
2018-06-21,99321.99609375,0,0.0,99321.99609375
2018-06-22,99321.99609375,0,0.0,99321.99609375
2018-06-25,99321.99609375,0,0.0,99321.99609375
2018-06-26,99321.99609375,0,0.0,99321.99609375
2018-06-27,99321.99609375,0,0.0,99321.99609375
2018-06-28,99321.99609375,0,0.0,99321.99609375
2018-06-29,99321.99609375,0,0.0,99321.99609375
2018-07-02,99321.99609375,0,0.0,99321.99609375
2018-07-03,99321.99609375,0,0.0,99321.99609375
2018-07-05,99321.99609375,0,0.0,99321.99609375
2018-07-06,99321.99609375,0,0.0,99321.99609375
2018-07-09,99321.99609375,0,0.0,99321.99609375
2018-07-10,99321.99609375,0,0.0,99321.99609375
2018-07-11,99321.99609375,0,0.0,99321.99609375
2018-07-12,99321.99609375,0,0.0,99321.99609375
2018-07-13,99321.99609375,0,0.0,99321.99609375
2018-07-16,99321.99609375,0,0.0,99321.99609375
2018-07-17,99321.99609375,0,0.0,99321.99609375
2018-07-18,99321.99609375,0,0.0,99321.99609375
2018-07-19,99321.99609375,0,0.0,99321.99609375
2018-07-20,99321.99609375,0,0.0,99321.99609375
2018-07-23,99321.99609375,0,0.0,99321.99609375
2018-07-24,99321.99609375,0,0.0,99321.99609375
2018-07-25,99321.99609375,0,0.0,99321.99609375
2018-07-26,99321.99609375,0,0.0,99321.99609375
2018-07-27,99321.99609375,0,0.0,99321.99609375
2018-07-30,99321.99609375,0,0.0,99321.99609375
2018-07-31,99321.99609375,0,0.0,99321.99609375
2018-08-01,99321.99609375,0,0.0,99321.99609375
2018-08-02,99321.99609375,0,0.0,99321.99609375
2018-08-03,99321.99609375,0,0.0,99321.99609375
2018-08-06,99321.99609375,0,0.0,99321.99609375
2018-08-07,99321.99609375,0,0.0,99321.99609375
2018-08-08,99321.99609375,0,0.0,99321.99609375
2018-08-09,99321.99609375,0,0.0,99321.99609375
2018-08-10,99321.99609375,0,0.0,99321.99609375
2018-08-13,99321.99609375,0,0.0,99321.99609375
2018-08-14,99321.99609375,0,0.0,99321.99609375
2018-08-15,99321.99609375,0,0.0,99321.99609375
2018-08-16,99321.99609375,0,0.0,99321.99609375
2018-08-17,99321.99609375,0,0.0,99321.99609375
2018-08-20,99321.99609375,0,0.0,99321.99609375
2018-08-21,99321.99609375,0,0.0,99321.99609375
2018-08-22,99321.99609375,0,0.0,99321.99609375
2018-08-23,99321.99609375,0,0.0,99321.99609375
2018-08-24,99321.99609375,0,0.0,99321.99609375
2018-08-27,99321.99609375,0,0.0,99321.99609375
2018-08-28,99321.99609375,0,0.0,99321.99609375
2018-08-29,99321.99609375,0,0.0,99321.99609375
2018-08-30,99321.99609375,0,0.0,99321.99609375
2018-08-31,99321.99609375,0,0.0,99321.99609375
2018-09-04,99321.99609375,0,0.0,99321.99609375
2018-09-05,99321.99609375,0,0.0,99321.99609375
2018-09-06,99321.99609375,0,0.0,99321.99609375
